Ano,Entidad,Bien juridico afectado,Tipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2019,Aguascalientes,La vida y la Integridad corporal,Homicidio,Con arma de fuego,7,4,6,2,2,5,3,1,11,10,3,2
2019,Aguascalientes,La vida y la Integridad corporal,Homicidio,Con arma blanca,1,1,1,2,4,0,2,0,0,1,3,4
2019,Aguascalientes,La vida y la Integridad corporal,Homicidio,Con otro elemento,1,2,2,2,2,1,0,1,0,0,1,2
2019,Aguascalientes,La vida y la Integridad corporal,Homicidio,No especificado,0,0,0,0,2,0,0,0,0,0,0,0
2019,Aguascalientes,La vida y la Integridad corporal,Homicidio,Con arma de fuego,0,0,0,0,0,1,0,1,0,0,0,0
2019,Aguascalientes,La vida y la Integridad corporal,Homicidio,Con arma blanca,0,0,0,0,0,0,0,0,0,0,0,0
2019,Aguascalientes,La vida y la Integridad corporal,Homicidio,En accidente de transito,19,17,13,19,18,13,10,10,15,11,14,15
2019,Aguascalientes,La vida y la Integridad corporal,Homicidio,Con otro elemento,0,0,0,0,1,0,0,0,0,0,0,0
2019,Aguascalientes,La vida y la Integridad corporal,Homicidio,No especificado,0,0,0,0,0,0,0,0,0,1,0,0
2019,Aguascalientes,La vida y la Integridad corporal,Lesiones,Con arma de fuego,4,4,2,10,12,11,4,8,7,13,6,9
2019,Aguascalientes,La vida y la Integridad corporal,Lesiones,Con arma blanca,9,8,15,16,27,16,19,11,16,19,11,11
2019,Aguascalientes,La vida y la Integridad corporal,Lesiones,Con otro elemento,173,173,235,272,271,290,267,278,270,284,241,240
2019,Aguascalientes,La vida y la Integridad corporal,Lesiones,No especificado,28,36,40,59,59,45,26,43,66,40,40,44
2019,Aguascalientes,La vida y la Integridad corporal,Lesiones,Con arma de fuego,0,0,0,0,1,0,0,0,0,0,0,0
2019,Aguascalientes,La vida y la Integridad corporal,Lesiones,Con arma blanca,1,0,0,0,0,0,0,0,1,0,0,0
2019,Aguascalientes,La vida y la Integridad corporal,Lesiones,En accidente de transito,73,69,74,86,83,93,76,78,97,89,118,111
2019,Aguascalientes,La vida y la Integridad corporal,Lesiones,Con otro elemento,4,17,17,0,1,12,0,0,0,0,0,0
2019,Aguascalientes,La vida y la Integridad corporal,Lesiones,No especificado,9,0,0,15,10,0,17,14,18,8,15,8
2019,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Con arma de fuego,0,0,0,0,0,0,0,0,1,0,0,0
2019,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Con arma blanca,0,1,0,0,0,0,0,1,0,0,0,0
2019,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Con otro elemento,0,0,0,0,0,0,1,0,0,0,0,1
2019,Aguascalientes,La vida y la Integridad corporal,Feminicidio,No especificado,0,0,0,0,0,0,0,0,0,0,0,0
